0,1,2,3,4,5,6,7
123,125,270,291,355,375,490,497
164,249,377,452,536,705,709,739
105,162,241,245,298,538,620,648
86,215,218,219,269,563,666,679
158,177,267,323,332,344,435,567
155,156,183,210,239,266,294,685
144,265,320,348,459,488,537,546
159,173,182,201,580,637,682,782
276,385,393,402,431,433,540,546
377,382,437,463,464,534,578,580
183,322,464,552,631,680,684,685
116,341,437,439,488,492,501,519
218,219,220,329,495,507,583,708
181,208,209,292,298,346,368,485
119,201,256,285,291,387,411,443
240,295,296,297,351,354,517,570
576,583,595,607,657,659,660,684
24,188,195,266,366,437,573,621
348,399,425,426,432,442,453,510
107,305,332,360,507,650,717,746
100,281,351,380,542,543,598,683
248,276,380,429,514,542,628,663
256,342,376,384,404,464,552,719
159,239,294,561,601,661,662,716
102,105,232,245,247,331,522,627
86,220,274,316,319,372,430,719
130,204,260,678,684,708,711,716
155,247,267,272,468,499,654,694
127,409,433,490,576,657,687,688
178,376,439,444,575,628,629,649
291,292,317,321,322,543,680,743
132,265,269,293,295,408,463,552
73,299,351,375,379,397,434,461
129,130,156,161,245,281,332,598
176,177,203,464,510,551,669,716
239,317,378,576,654,677,678,705
240,243,272,471,492,556,625,742
416,580,603,605,653,655,656,685
64,293,300,358,406,436,494,500
486,570,571,572,595,596,597,624
344,400,430,431,480,570,653,687
129,131,188,245,275,330,351,632
152,157,212,241,244,265,370,712
29,41,138,354,481,497,507,527
122,153,215,238,242,493,550,605
96,292,314,317,318,377,402,452
52,202,204,516,606,636,637,654
120,231,398,405,427,457,486,544
174,184,240,269,353,451,543,568
510,548,569,632,648,661,679,683
96,123,284,320,457,487,580,633
156,467,494,550,606,633,634,690
180,182,207,264,297,303,381,719
153,205,288,352,451,452,542,574
288,372,398,443,458,462,496,779
125,285,289,347,411,434,437,516
162,260,268,349,439,505,537,626
177,236,264,287,546,577,631,725
340,342,343,344,346,348,369,398
323,328,380,385,463,467,548,662
304,320,332,360,376,426,429,443
203,487,548,549,553,555,661,662
217,272,276,336,354,377,534,552
22,247,311,328,352,439,526,593
121,189,443,465,466,469,491,538
97,105,332,419,678,705,734,735
29,457,483,486,487,489,709,740
191,237,314,325,358,385,469,659
131,232,246,287,289,319,370,520
141,159,167,351,549,576,581,665
184,185,207,208,292,577,707,712
97,261,262,355,461,549,586,659
126,265,291,318,411,465,597,708
62,123,230,375,639,640,667,762
153,236,237,256,258,260,262,264
30,166,216,434,479,496,517,713
321,432,460,487,513,537,708,731
93,120,121,189,208,293,414,431
161,245,249,303,304,328,397,468
147,207,309,451,508,563,592,769
211,260,261,455,483,625,714,715
118,159,335,346,368,396,480,548
100,214,292,312,372,384,385,441
54,135,344,372,458,468,515,564
154,416,449,488,503,577,737,738
151,175,177,234,260,261,287,533
17,323,374,432,463,526,545,563
187,192,214,242,269,297,657,661
122,148,262,317,665,666,667,695
356,405,435,578,623,626,633,714
130,217,323,331,376,378,400,691
219,295,432,482,527,564,608,655
212,373,384,435,460,515,547,598
22,175,355,377,596,597,680,681
141,182,258,266,378,430,438,650
143,384,603,656,694,707,708,711
102,217,287,289,291,293,323,429
214,236,240,291,295,383,605,686
152,287,301,322,330,374,410,437
112,180,342,359,368,397,403,538
273,355,408,438,464,480,493,519
349,377,404,412,432,458,459,487
203,207,209,292,293,318,344,345
154,184,212,242,244,333,417,743
404,454,483,485,486,487,511,595
216,218,294,297,299,327,328,329
295,323,389,480,508,537,545,546
200,212,376,415,442,572,658,691
218,241,243,244,246,298,327,409
218,319,462,510,517,521,691,716
239,299,351,354,406,433,434,581
284,322,458,518,557,657,690,780
267,268,405,525,568,569,578,742
296,300,328,384,439,493,522,529
103,228,256,414,506,717,745,748
293,379,403,471,483,485,511,546
149,154,295,320,329,346,347,403
174,233,260,331,360,454,497,542
157,184,233,408,415,428,495,537
130,181,203,206,232,401,427,455
17,293,345,347,638,708,745,780
381,383,397,552,574,659,668,684
398,429,460,513,539,540,543,544
156,185,189,212,219,267,323,429
159,163,273,415,427,495,542,709
183,240,312,351,630,655,677,678
153,206,290,406,462,490,547,624
178,218,294,304,360,465,534,608
232,267,292,293,377,453,597,606
154,210,298,321,402,429,484,667
103,105,124,131,179,233,242,629
177,213,236,238,239,286,322,609
233,300,467,497,552,579,607,635
326,333,353,358,384,385,411,576
213,238,239,264,332,497,555,742
205,348,371,374,400,534,544,605
228,325,376,517,555,581,610,678
473,491,497,519,552,630,689,690
124,170,175,209,243,260,317,718
97,157,267,270,321,490,639,662
71,267,289,296,306,541,591,601
359,406,429,456,488,513,516,633
68,97,116,190,454,553,717,720
353,432,464,527,554,573,633,743
316,374,399,401,454,459,514,569
245,322,350,406,428,496,543,610
189,208,210,315,321,349,741,745
201,290,314,347,376,526,642,741
151,272,411,464,487,501,524,655
14,58,649,678,707,736,737,738
463,467,524,546,560,604,663,690
124,428,480,483,510,527,661,710
80,127,156,206,213,240,256,312
48,189,268,272,273,295,354,709
373,378,427,433,443,460,488,516
180,236,266,271,319,504,505,661
321,380,435,436,467,574,635,640
263,289,315,486,549,580,581,608
204,292,298,373,403,433,464,653
183,190,247,275,414,415,436,600
95,208,263,290,317,347,352,575
180,289,290,291,294,315,320,374
237,268,325,428,510,538,542,565
135,174,202,377,458,464,492,495
316,440,454,472,529,537,597,611
189,236,286,306,380,412,435,439
148,188,293,318,326,376,381,546
98,326,350,431,458,514,542,725
290,314,320,344,369,373,396,399
293,303,339,344,374,403,428,467
158,213,247,270,273,276,352,354
232,441,460,516,520,523,542,546
337,567,575,603,631,658,687,688
307,351,368,377,403,415,537,597
160,186,271,297,299,300,302,602
63,202,240,269,270,355,385,457
73,92,96,118,124,125,430,669
217,233,349,456,459,484,521,541
120,186,242,266,269,297,325,443
121,150,153,435,440,526,631,656
128,268,270,299,301,541,597,689
