0,1,2,3,4,5
55,98,173,360,429,453
242,269,387,444,471,481
176,228,297,408,550,714
204,411,466,572,593,634
267,297,386,404,515,663
313,458,628,650,656,677
578,632,656,678,681,686
207,233,352,403,461,587
218,386,510,653,688,715
19,174,292,347,396,398
377,405,406,513,515,540
130,205,209,383,410,695
456,488,544,568,569,601
148,291,319,434,466,604
203,320,459,569,570,657
245,495,511,601,633,742
48,147,635,637,684,720
157,378,384,460,583,595
345,348,433,546,577,720
102,127,269,302,371,691
209,219,248,453,481,760
257,321,344,346,350,430
95,209,517,579,628,690
246,325,352,355,383,385
239,266,332,529,656,721
345,563,667,738,739,740
269,296,325,353,409,465
110,385,405,413,604,629
134,208,242,347,373,772
313,371,415,545,549,719
204,214,272,380,427,489
96,152,177,235,261,529
183,379,470,497,522,634
147,378,493,520,575,708
276,331,360,434,537,630
100,155,184,211,270,291
319,341,348,433,514,713
102,188,247,254,304,464
314,331,399,429,459,482
187,237,240,332,398,519
73,132,433,512,584,662
214,217,275,288,299,332
173,230,549,580,602,608
219,329,355,522,548,681
138,185,238,320,326,412
126,167,500,541,544,626
465,528,550,553,571,652
286,292,485,510,530,662
79,246,247,259,265,660
240,440,466,691,696,708
496,508,513,523,559,689
91,110,218,221,523,677
366,368,387,488,577,740
70,73,75,100,110,264
404,434,489,490,547,685
300,345,348,371,458,510
141,195,438,509,530,780
103,179,209,261,320,321
371,383,399,482,497,593
459,494,513,517,541,625
87,124,180,207,233,258
74,79,275,400,567,603
152,602,624,628,686,720
67,71,95,97,266,432
68,69,147,326,461,473
191,315,373,432,495,758
190,322,383,438,526,542
294,318,320,372,384,636
512,516,545,678,684,709
290,383,431,465,576,742
178,204,321,432,488,588
178,179,182,208,238,318
74,133,247,271,304,415
226,320,406,547,600,748
152,158,411,545,620,709
131,155,267,273,580,678
293,345,375,386,404,510
128,150,155,182,238,293
28,183,189,190,356,370
267,298,323,377,383,490
102,217,398,489,602,604
204,374,439,579,632,656
178,267,299,329,545,593
264,366,395,417,664,709
155,202,438,578,581,596
179,259,322,458,512,574
157,324,604,623,660,690
96,237,401,435,550,572
123,218,341,408,592,599
287,291,293,342,371,426
129,151,327,490,524,721
152,180,236,245,469,583
424,489,500,514,545,624
158,159,179,266,520,709
130,352,381,467,516,660
175,294,375,603,661,688
92,321,330,387,512,728
293,408,463,572,625,745
181,228,428,611,706,740
163,188,296,299,302,331
72,73,128,301,524,601
90,189,452,540,684,723
559,577,581,610,667,745
298,325,356,357,411,465
207,230,293,317,376,427
289,376,431,521,597,716
150,185,204,264,347,639
347,354,413,435,470,567
182,183,184,266,296,720
124,194,441,485,543,544
285,342,375,377,466,493
102,161,163,240,593,689
374,412,459,486,490,610
163,218,268,273,299,325
178,263,275,405,416,684
290,322,323,402,427,428
270,293,456,511,576,632
212,239,295,302,456,514
456,460,487,543,651,680
371,429,456,459,460,651
271,327,349,356,382,496
346,417,436,612,692,707
149,189,244,295,351,570
377,512,524,550,631,684
219,291,301,458,677,705
204,508,524,564,592,613
248,299,477,530,667,780
240,487,600,631,635,650
98,126,249,354,611,716
245,297,436,493,508,521
91,132,227,304,574,710
99,156,268,292,294,317
148,214,239,328,437,542
157,351,385,508,578,630
128,200,202,270,343,444
258,289,293,315,318,400
128,239,428,495,510,653
210,265,291,317,546,710
86,92,200,224,227,757
270,305,319,519,711,712
206,233,238,291,316,317
219,248,276,313,412,497
403,495,569,570,653,662
60,175,496,603,687,714
231,319,326,344,441,493
300,305,356,399,437,632
302,326,409,463,480,516
204,233,248,600,712,713
174,185,213,268,293,307
555,575,577,659,660,691
122,163,243,301,408,679
76,133,298,299,339,594
133,229,236,265,317,662
178,484,712,714,717,756
547,553,686,687,688,711
122,146,154,236,241,273
160,321,480,511,592,602
